avg_diameter_mm,num_grains,D10_mm,D50_mm,D90_mm,Cu,variance
3.395583136811546,311,2.213056043557607,3.364847958416634,4.604035759306836,2.08039727358445,0.7716502025201155
3.518702564695032,510,2.369653753534204,3.386760555371626,4.769745454633476,2.066886797353946,0.7853998629096485
3.511943784550643,658,2.3902979345233124,3.4045079306616457,4.73899025772941,2.050028230731839,0.7511269662392169
3.667750515083318,859,2.4507680501294793,3.442336583359127,5.006852935800746,2.0486171829634143,0.9035263548168435
3.814537026521859,1035,2.5031750575966525,3.5090428336945085,5.2268507775140085,2.056511424499277,0.9951153972756482
3.8782656084476055,1074,2.5562819615370254,3.5761506662923486,5.244795134061887,2.055554728464613,0.9787272408630503
3.8969014272540545,1066,2.6113801821910974,3.630077957505155,5.248926930519298,2.0464478238772754,0.9569908092246169
3.9095605345999793,1065,2.6149607228436236,3.675103616530274,5.265837793238465,2.0399052485489246,0.9573749677580408
3.8755647950697796,1069,2.6389378119607967,3.70878154704011,5.204561023780547,2.026367826892158,0.8711827125898322
3.7989779976447826,1073,2.608318618754084,3.717472548894732,5.061417410574708,2.0091923546057733,0.8254996857411524
3.681212723547998,1069,2.4727002886850946,3.704316383103122,4.899011474020165,2.003601782909422,0.7931561118794409
3.6077018837755745,1082,2.373211788895383,3.6764257855331013,4.863205422483813,2.012723097032149,0.8305824504723842
3.4918724620303254,1085,2.3226875523430035,3.6314287474382594,4.718205624541582,2.0164497059518975,0.7673098556997087
3.394951570875698,1092,2.247453559025489,3.5745341806700286,4.683965979029784,2.029984037745453,0.7844530670089119
3.2067282853604473,1091,2.1713322298748965,3.4951690824601567,4.292516343805364,2.019368119840568,0.6317854024680647
3.151665589033517,1085,2.0993090561923937,3.4176404999378636,4.260942115014485,2.0214320687558622,0.6244789799186421
3.1049569335021165,1068,2.0762854717978843,3.344027305796429,4.209618017452356,2.022640763902908,0.5937058489048783
3.090714853135125,1081,2.0759625619921707,3.2821825967927394,4.212851974613895,2.023982355764647,0.5909198026952714
3.2460307523853973,1099,2.1120601732527664,3.2587965967404724,4.513317872712503,2.046571233748014,0.7794871903977747
3.3294840096486977,1107,2.176026020889514,3.2553316257535454,4.622351482586463,2.0621003885214266,0.7993316211527204
3.3526972759691027,1100,2.239257504748442,3.265837266087927,4.585781042681081,2.0592608108674244,0.7438688374263365
3.3811573951891516,1109,2.2669435539622156,3.2798418080357363,4.5806021280203035,2.051530058776182,0.7324908180793489
3.410262449532076,1122,2.273399457624038,3.3008567942120726,4.597519007973385,2.045686095479277,0.7293899170986365
3.312927725499578,1123,2.2330878210178655,3.300926879196661,4.459643070114469,2.035963805625364,0.667281920569931
3.1822039329585863,1109,2.182369308447244,3.2755617970352886,4.247533737339154,2.018029977064851,0.5573467169519912
3.1283616598628394,1123,2.1727287463162983,3.2414794032409446,4.111920568166714,1.9929268734774872,0.49880968026616473
3.1189943233110964,1127,2.1648171242499785,3.2138679966269867,4.088739399809603,1.9720860531841256,0.49335910826928975
3.0572889019771363,1117,2.1592241848063956,3.1830008138854557,3.9747951670857717,1.9458376686520495,0.44201452036531996
3.0992967394890596,1096,2.2297408857103953,3.1668418293649467,3.9929149154090093,1.9148207111610727,0.41484088017680654
3.1665674083467854,1116,2.2885628148109878,3.1709957201207506,4.061916958750837,1.8868319213608,0.4381139767104093
3.23149095878314,1129,2.3568019309808164,3.1847952719369963,4.126680150962285,1.8596587456664104,0.44522787589000057
3.2748020278666057,1128,2.376038153205232,3.208729345589226,4.19518105026645,1.8408510441926516,0.4665943679185045
3.267360949938198,1114,2.3947580958824126,3.222437211039476,4.1579623520126745,1.8199361476265339,0.4372204197276705
3.265294104302658,1111,2.421716106538088,3.230716489654834,4.156222185152284,1.7991949471408344,0.42213686380117943
