avg_diameter_mm,num_grains,D10_mm,D50_mm,D90_mm,Cu,variance
3.6264237461978124,285,2.481073385804342,3.517019406357406,4.9929924116958535,2.012432377157264,0.854306419728255
3.871094990000339,464,2.585461556823709,3.5835384867922073,5.201799247936589,2.0123343444553257,0.9277952009571295
3.879207800673648,604,2.6539934810822947,3.638626534520889,5.223308666999629,2.003486277134909,0.905486518953528
3.8965443422018313,740,2.6751914702590307,3.6852499438342927,5.248337775201249,1.9951600227034612,0.8724209626118661
3.8916454183682636,884,2.696212396104999,3.7211442203488616,5.218669414823603,1.9832391687800273,0.842192843101293
3.8680238955071515,1070,2.6602437763274973,3.7425978141725005,5.233330737991191,1.9800387915737279,0.8811859524888437
3.740534641287434,1084,2.587242926758455,3.743248444071353,4.986496635999093,1.9694990219373127,0.7611159235336588
3.615988663632603,1106,2.4494240272776913,3.715450565782698,4.916845603063525,1.9770687506570392,0.8086517582389596
3.4205468310139526,1102,2.320638034699283,3.646727821646829,4.586606168957186,1.9769433738415965,0.6970396676915898
3.227712417256328,1121,2.194743597568401,3.5535861850796495,4.3626581872208945,1.9791098569563546,0.6313411068142111
3.198396422090314,1128,2.140311133882828,3.4740937219655756,4.3515843463663035,1.9899188914480381,0.632788911491024
3.191725652770112,1116,2.103772927094016,3.4072707027638205,4.387224744843483,2.009016699135834,0.6763689347565296
3.1393607233947867,1094,2.100667793912392,3.345654897784058,4.245698373795302,2.0114370434246496,0.6019022599807586
3.1832573527027357,1076,2.1117721858692065,3.31058773541253,4.295148580038111,2.0159310677729643,0.6186856448340453
3.371681637903165,1079,2.2263262168113087,3.325238282655178,4.524065507114025,2.01916018301899,0.6973359611560233
3.2569098402224315,1063,2.2091711283586055,3.3129896181013807,4.370692809001048,2.011014361294203,0.6099400067900775
3.205868674726155,1077,2.204511851202284,3.2886444559072645,4.262871044867871,1.9955520767571304,0.5614495115163053
3.11323187173197,1081,2.153668766041271,3.252126412887237,4.119908926462067,1.9790361431035568,0.5243191346854891
3.0635580965221547,1088,2.129121272581339,3.210765706736174,4.0268492116871775,1.9614928737551176,0.4827795923819771
3.13017870498605,1097,2.126231283262783,3.190756194833112,4.143853121797648,1.9589781531329589,0.5251668550777241
3.10164341865705,1110,2.1398907982535675,3.172303499541495,4.049546185954794,1.9456640963567484,0.48170328461940265
3.128273764010645,1121,2.153668766041271,3.166779706951847,4.101930522970562,1.9374561980991771,0.4986498823152718
3.1111544048458257,1118,2.1395162339300557,3.1525891223641933,4.093565707442679,1.9326276971418337,0.5112295690645856
3.0915754744802006,1124,2.1363382076551414,3.1345382147263683,4.07782268652067,1.9278603149105444,0.5125257297984247
3.11898720862419,1139,2.135712653913191,3.1293165169536277,4.161941573953068,1.9320355867421606,0.553317897324147
3.13973515711625,1139,2.148579180510043,3.129801629677269,4.177273568376474,1.93446902097953,0.5473373386632805
3.1663104926548638,1127,2.1931384125722104,3.1332941293823224,4.145308769039892,1.9256004928242811,0.4958030189380725
3.1486274701560975,1128,2.184049070889361,3.1299290731498033,4.145300150720124,1.9200781062313568,0.5034482077542645
