t,px,py,trace_P
9.5367431640625e-07,1.0223192628384585,1.8205293227236234,1.0974930222001997
0.10000095367431641,1.0209932342549919,1.8205283960148348,33.59665440519707
0.20000095367431642,1.019672825339885,1.8205274732334096,1.5125990671670417
0.30000095367431645,1.018358011862253,1.8205265543624136,55.09505994476927
0.40000095367431643,1.0170487705172027,1.8205256393855602,2.830180842697655
0.5000009536743164,1.0157450772823409,1.8205247282860608,71.21847634957605
0.6000009536743164,1.0144469090465131,1.8205238210477643,5.366172049020194
0.7000009536743164,1.0131542419939947,1.8205229176540265,84.72847431328796
0.8000009536743163,1.0124568516368073,1.8224852112517336,0.3645635830156835
0.9000009536743163,1.0112273911538532,1.8224746705545727,7.886139403519785
1.0000009536743164,1.0100031410355095,1.8224641745281238,0.5471641254194215
1.1000009536743165,1.0087840788440976,1.8224537229800195,10.899108535998222
1.2000009536743166,1.0075701829447947,1.8224433157247746,0.906751254263478
1.3000009536743167,1.0063614310927425,1.8224329525716747,13.727738983215215
1.4000009536743168,1.0051578018331988,1.8224226333367788,1.4866248461989575
1.5000009536743169,1.039277012562145,1.768068404601423,0.46402956994040323
1.600000953674317,1.0452481650506087,1.7580227483819777,0.444539383596266
1.700000953674317,1.0517072441877406,1.7500722736047876,0.16215202407778317
1.8000009536743171,1.054903617480827,1.7422256253059158,0.13255309110155086
1.9000009536743172,1.0532695456250543,1.737131797453196,0.14379995693241804
2.0000009536743173,1.0335616750436236,1.7613952641055015,0.10930878017098133
2.1000009536743174,1.0284867951757057,1.765177754507126,0.11179560835760027
2.2000009536743175,1.0252667840277252,1.763755632722727,0.36556635354080624
2.3000009536743176,1.0233122616725598,1.7627908259491187,0.1554139624049064
2.4000009536743176,1.029373321600209,1.7661929942424266,0.2461305155841924
2.5000009536743177,1.0295846151890378,1.7638631456715244,0.11566900499106064
2.600000953674318,1.0296520475901128,1.7625676668477395,0.15788126749760856
2.700000953674318,1.0296049439575046,1.7655187733479278,0.14708452931281293
2.800000953674318,1.026001327873249,1.7637366290484366,0.22969011537157374
2.900000953674318,1.024225293789536,1.75459689410426,0.1442305457339247
3.000000953674318,1.0230869158985962,1.7451324407368018,0.13729587616211078
3.1000009536743183,1.0223468178776645,1.7390304438790116,0.3328408371138377
3.2000009536743184,1.0213072048102652,1.743304799497307,0.12513565122691034
3.3000009536743184,1.005333459930454,1.7652046172821627,0.15419058422532575
3.4000009536743185,0.9987349334288328,1.7674440356552608,4.442366463926138
3.5000009536743186,0.99817373684017,1.7639042720529208,2.8543494910638536
3.6000009536743187,1.003293168974752,1.759279348940806,1.218461084876471
3.700000953674319,1.0108223457779058,1.7566176279861392,0.5265981672432919
3.800000953674319,1.0070748876312274,1.7578681006733516,0.18456124178039238
3.900000953674319,1.0037139300865732,1.7586537745603272,0.17271064791548757
4.000000953674319,1.0018201054691631,1.7628160977836915,0.1426933762662826
4.100000953674319,1.0010376354714359,1.76286363083649,0.3767476700333737
4.200000953674318,1.0002581957643704,1.7629109798068745,0.22230148105097647
4.300000953674318,0.9994817744869736,1.7629581454153702,0.5919173229590913
4.400000953674318,0.9987083600738409,1.7630051283645458,0.31295137512361665
4.500000953674317,0.9979379407566448,1.763051929369297,0.815106336405587
4.600000953674317,0.9971705050584423,1.763098549126819,0.417433312935173
4.700000953674317,0.9964060413028402,1.7631449883464225,1.0492168355274316
4.800000953674316,0.9956445381006878,1.7631912477199694,0.5384221606030006
4.900000953674316,0.9948859838668007,1.7632373279512303,1.297029406066641
5.0000009536743155,0.9941303672991562,1.763283229726774,0.6784819722500511
5.100000953674315,0.9933776769030584,1.7633289537448738,1.5612080904748287
5.200000953674315,0.9926279014629531,1.7633745006868462,0.8400703502300902
