file,mean_mm,uncertainty_mm,error_mm,abs_error_mm,cov
1,3.662640373885981,0.20621216925333882,0.41264037388598096,0.41264037388598096,0.05630150607294056
2,3.7549070013874424,0.20741295769863116,0.5049070013874424,0.5049070013874424,0.05523784147569882
3,3.5701044352051583,0.14232741322391645,0.3201044352051583,0.3201044352051583,0.03986645651606478
4,3.6073015520120792,0.3253796354248033,0.35730155201207925,0.35730155201207925,0.09020028703819152
5,3.299483349420269,0.2692078656256284,0.04948334942026911,0.04948334942026911,0.08159091503611593
6,3.195061037430213,0.12285994726691392,-0.05493896256978692,0.05493896256978692,0.03845308300142214
7,3.6269078666941166,0.17389483117033772,0.3769078666941166,0.3769078666941166,0.047945753672767204
8,3.124301927604642,0.11858217612265189,-0.12569807239535802,0.12569807239535802,0.03795477481703158
9,3.3410906428089002,0.26103779140095507,0.09109064280890022,0.09109064280890022,0.07812951497224184
10,3.760707691868959,0.15800157349154254,0.510707691868959,0.510707691868959,0.04201378741377809
11,3.666907678166696,0.08652857073247949,0.4169076781666958,0.4169076781666958,0.02359715005853113
12,3.68734863879932,0.08459005674610383,0.4373486387993202,0.4373486387993202,0.02294061805168718
13,3.295074103078637,0.1525498054715318,0.045074103078636796,0.045074103078636796,0.046296320112801784
14,3.552713411544819,0.15813870683229653,0.3027134115448189,0.3027134115448189,0.04451209217113108
