avg_diameter_mm,num_grains,D10_mm,D50_mm,D90_mm,Cu,variance
3.5701044352051583,275,2.32253240085376,3.47072299575584,4.884277481937733,2.1029964878605263,0.861831192041091
3.4399554847463985,357,2.3119090903673634,3.445577655865957,4.714789716109231,2.0902670097163165,0.8069577308645559
3.603787377855834,563,2.3958868506073756,3.4673535441254164,4.989236772592299,2.088697113354921,0.8725026570022839
3.604391936964138,811,2.374349118593064,3.4785856295668096,4.980696197897309,2.0904997166559767,0.8829665592718327
3.6493383712900767,977,2.4155295241247594,3.4937599230860985,5.066064587061526,2.0918576633207366,0.9253331281929171
3.5961248659977163,1067,2.4193398128821477,3.497420419875076,4.929449781999916,2.0809898435085254,0.8339590201437397
3.6533292074520487,1074,2.4521126512051636,3.514152812653262,4.998533748348891,2.0724838905787886,0.8875475121480921
3.6661029602448973,1060,2.4908969982282505,3.527538726875811,4.994570311566977,2.0590129529630246,0.842020665401254
3.664620706506124,1061,2.4917901599071866,3.535334438839619,4.946129498924887,2.0442044253945,0.8098384491292688
3.7595508502521975,1077,2.5656391041810753,3.5666621944271855,5.080076635079588,2.0313722094071243,0.8469733916950323
3.798181967803598,1085,2.534163093337905,3.607347984127468,5.160652645699178,2.0323843118894844,0.9284936417840771
3.7321638432467545,1076,2.563787063903364,3.621465757117825,4.978188676286069,2.014253950387271,0.7628610899940124
3.6525926995925504,1071,2.5277339821588303,3.6188870539193263,4.788937274118739,1.9903146524145925,0.6980320819968683
3.6373839410586877,1064,2.539139095161735,3.6173483251751315,4.773286075407403,1.968228452352058,0.6735540005258346
3.5899639088768662,1060,2.4940003042877983,3.6060983622338183,4.699559006258705,1.9514519224971452,0.6643810450521319
3.7534108762454608,1066,2.5857650892774773,3.632140758274485,4.996263186438535,1.94760524142281,0.7659730103592444
3.55101320422885,1069,2.423334237264813,3.6044105166692426,4.789418518015289,1.953359301653287,0.7708825561491368
3.590739640482344,1067,2.45904030959018,3.5882512388614467,4.844642250022988,1.9567145120566096,0.79370271132402
3.536935649692635,1068,2.467584030101463,3.5682226933732357,4.7249171009956745,1.9483305722060396,0.7010466781530408
3.4046084052611407,1070,2.3516314704882832,3.524034568525119,4.5807868982546704,1.9482481961814242,0.654823650162452
3.4176469754722265,1072,2.3779189557858924,3.4948880583678723,4.572053365398237,1.943140961493758,0.6331829496925193
3.581237990171664,1079,2.4759022315770594,3.500729760894652,4.759928987459592,1.9390133303845887,0.6932264805280197
3.5350878526958835,1091,2.4629465506910515,3.5023742462781158,4.663569989112275,1.929909096703922,0.62446342386465
3.512803920106729,1101,2.3860033095316195,3.496467926128878,4.695065436185857,1.9374778996468525,0.6835856799088063
3.422328011920768,1109,2.3142537684398787,3.475577240757038,4.563843604591357,1.944394001515715,0.6757122586324655
3.4293362011416075,1113,2.329968103113636,3.4608957507133526,4.521708131241927,1.9436499679674797,0.6434524706082317
3.2310710784858876,1107,2.223242937329788,3.414169828340773,4.271109335903761,1.9391433324415057,0.5462851788500329
3.203215505958957,1124,2.206866618803315,3.3723371405938067,4.207072913695389,1.9325858200727677,0.5211650235824709
3.1529814316069418,1128,2.177091211957079,3.329880399466024,4.137188159112794,1.926134326838604,0.49150864341891226
3.0893755881302494,1120,2.180043522827595,3.2833919102251334,3.968317525393052,1.9049660212051405,0.43295170801928506
3.1630198325421,1133,2.222407206158295,3.2599868177444913,4.114595014167846,1.8942555448788074,0.4766293519198699
3.0494641806037093,1125,2.171529594577811,3.213578144208654,3.949327157728058,1.879141330632854,0.42290506369599534
2.932814407391254,1126,2.0925568512239057,3.152556424898777,3.842698811917124,1.870586126613971,0.4053911208619262
