avg_diameter_mm,num_grains,D10_mm,D50_mm,D90_mm,Cu,variance
3.1993137602872808,619,2.3808295644610142,3.0178583004907074,4.074825055970875,1.6524668414775256,0.3817791913155714
3.21062869559356,841,2.3664057098787827,3.0512359059845995,4.093130882883472,1.667910001799773,0.4018497980048165
3.225902912330192,1055,2.348661019273345,3.080588189734102,4.11018445196593,1.6843303575258903,0.4192017221975557
3.2932847915949743,1106,2.366870764339234,3.1264244902878877,4.222209220340716,1.7042399312274705,0.47085938561273916
3.2729782456068075,1098,2.3293317752897353,3.1524959766390213,4.195741796655392,1.7236447729530802,0.4593718579506883
3.286753551888062,1115,2.303271388115745,3.1768043141404747,4.229820345477059,1.7462038737172767,0.48722394116454193
3.2824915493834816,1110,2.30337081506894,3.1980553737586837,4.219956974074056,1.7633788707172655,0.4858106394591647
3.296666054652778,1109,2.332125243971572,3.218389220445244,4.211886701284218,1.771908971959085,0.47843114549967264
3.2681671168959436,1091,2.332949610702277,3.2294938466279963,4.159052004928341,1.7740759847810135,0.4488232018876501
3.269501853135729,1095,2.333926764020126,3.2383775475741983,4.186499323772762,1.7780123466407893,0.4634756798372939
3.264074156304126,1085,2.365133380665472,3.246829375900012,4.158398635484343,1.774051663731823,0.44133505510631377
3.289415893186289,1085,2.3808780542591976,3.2578187758911277,4.186499323772762,1.7709182525550833,0.4485771963076832
3.314539169788015,1096,2.3800494402147505,3.272227605326367,4.257819566074042,1.7745271330840826,0.48900489096453414
3.3276344311382156,1099,2.3809527075719568,3.286499088973439,4.26211796129924,1.777639566103433,0.48604229298233576
3.3572262315437413,1115,2.380915380915577,3.3017532265779046,4.329309266836097,1.7857792826975674,0.5202869912504103
3.378022764679946,1120,2.380962039236052,3.314679918916385,4.38782343707342,1.7971990997526892,0.5470384211058202
3.3472251333904395,1122,2.361334362054032,3.3232481638422082,4.328252746719243,1.8043530850906382,0.5375102782544438
3.317265543932449,1113,2.370830503090534,3.3261449653546493,4.275051443845302,1.80411992724747,0.5003937705908739
3.317170318702619,1104,2.394920492420179,3.3271596024746986,4.270078949024201,1.7998905730217531,0.48424450506062905
3.280504010278382,1085,2.3616813110296717,3.323099863912114,4.207770094416514,1.7962492829301024,0.45130085322205743
3.2899124990126403,1082,2.41953763147553,3.323848457066229,4.163808923917613,1.7811816262612088,0.42164781183079664
3.3118921788361795,1082,2.416047038238523,3.326704746737678,4.200029846417904,1.7726231218414652,0.42420933701986957
