file,mean_mm,uncertainty_mm,error_mm,abs_error_mm,cov
1,3.298642071324105,0.037803914736423895,0.04864207132410492,0.04864207132410492,0.011460447638457803
2,3.3446353953733188,0.02357662494965331,0.09463539537331878,0.09463539537331878,0.007049086720264692
3,3.335199280516921,0.02939751384852269,0.08519928051692105,0.08519928051692105,0.008814320037861841
4,3.291168017025414,0.035117430996760984,0.04116801702541384,0.04116801702541384,0.010670203044966516
5,3.2693916358101633,0.017380706504947035,0.019391635810163343,0.019391635810163343,0.005316189811759903
6,3.284939461452309,0.01610103894828328,0.03493946145230886,0.03493946145230886,0.004901472047574609
7,3.2728385924863246,0.030416271025146685,0.022838592486324583,0.022838592486324583,0.009293544476948959
8,3.2803159237171577,0.02264020008897558,0.030315923717157744,0.030315923717157744,0.006901835254733748
9,3.3132165647315084,0.030145281990503356,0.06321656473150838,0.06321656473150838,0.00909849428841855
10,3.266071495698878,0.028329791319349408,0.016071495698878113,0.016071495698878113,0.008673965452580323
11,3.314596823183298,0.02261239768014431,0.06459682318329785,0.06459682318329785,0.006822065815663107
12,3.2917065101374465,0.024056488912531798,0.04170651013744653,0.04170651013744653,0.007308211968000546
13,3.3019845495733886,0.02941170228736613,0.051984549573388605,0.051984549573388605,0.008907280408433794
14,3.3048450719685842,0.022774980260244396,0.054845071968584236,0.054845071968584236,0.006891391204211008
15,3.3201614407818285,0.026943618450568245,0.07016144078182851,0.07016144078182851,0.008115153112622014
16,3.332690629551476,0.027250695256361968,0.08269062955147621,0.08269062955147621,0.008176785152130803
17,3.3313960209299145,0.025316049092992027,0.08139602092991449,0.08139602092991449,0.007599231353444852
18,3.331008058911137,0.02322807128076526,0.08100805891113705,0.08100805891113705,0.006973285825179965
19,3.334962724040378,0.021271476228792125,0.08496272404037786,0.08496272404037786,0.006378325033576771
20,3.37218650960486,0.026064283976973565,0.12218650960486022,0.12218650960486022,0.007729194071186673
