file,mean_mm,uncertainty_mm,error_mm,abs_error_mm,cov
1,6.494815209520447,0.13277239213871958,3.244815209520447,3.244815209520447,0.020442828295421663
2,6.246283057597262,0.056280064087611145,2.996283057597262,2.996283057597262,0.009010168698512394
3,5.862224434757943,0.056104335415740426,2.612224434757943,2.612224434757943,0.009570485749929674
4,5.767280510674533,0.08010951246342768,2.5172805106745333,2.5172805106745333,0.013890344385911997
5,6.10492448830599,0.10853108725077,2.85492448830599,2.85492448830599,0.017777629757528005
6,5.041585446280357,0.051233774939716696,1.791585446280357,1.791585446280357,0.010162234774284462
7,5.219457038502944,0.08395300330500509,1.9694570385029442,1.9694570385029442,0.01608462387671739
8,5.442616449032138,0.03862560215745039,2.192616449032138,2.192616449032138,0.007096881163529205
9,6.099707370934393,0.2823318211615847,2.849707370934393,2.849707370934393,0.04628612554545141
10,6.539574386115014,0.037712513598261714,3.2895743861150137,3.2895743861150137,0.005766814684199304
