avg_diameter_mm,num_grains,D10_mm,D50_mm,D90_mm,Cu,variance
6.0229442859771725,221,4.60789768731246,5.979498474757067,7.4293387246255005,1.6123054869646285,1.0080607230917764
6.153024993786142,499,4.728619037271183,6.003831633574052,7.628188257410224,1.6124835447789425,1.1553832757632865
6.150286970371543,800,4.613922416741016,6.024282118664296,7.71264934560998,1.6243075568489622,1.2534184475844932
6.187852286203822,1066,4.700290295694563,6.047332307595457,7.781098389075816,1.6305361654321122,1.2781108403566122
6.243759626725946,1096,4.7060896107029855,6.080341318249036,7.8793668522706914,1.6392872756441588,1.3809809935607515
6.209311188777875,1094,4.639286763388974,6.1007432736842935,7.894220059284757,1.6517502387995409,1.3878795756218834
6.16827268725416,1093,4.601143478443189,6.1144963422203205,7.776368520077415,1.6594191446545534,1.3575221718113035
6.157519937773244,1090,4.5754061972176725,6.125428860759508,7.766740853540437,1.6670348276254903,1.3393387454596772
6.227813421675551,1096,4.613007458511529,6.143427684450588,7.921273868601389,1.6770599479941937,1.3680005106338335
6.312740114146884,1090,4.751248966727313,6.1727871857478895,7.946161110659184,1.6761352128543672,1.3187782877472758
6.3238760430128655,1091,4.772541856941031,6.201476447860422,7.9657325397984415,1.674723264150647,1.3116353978207238
6.33610213038862,1091,4.762015489793827,6.224097168836983,8.030525428231531,1.677052836717009,1.3883118739705689
6.277377968874798,1094,4.618154150126355,6.235322573424825,7.972623238246018,1.686915423065451,1.4310000414333492
6.296759925226268,1094,4.659075146792798,6.249394200449416,8.009179444845957,1.6933421802128783,1.4498859023877717
6.278783692245172,1096,4.66035847790998,6.2538475841388905,7.996587250333651,1.6978485144476254,1.4361699818172604
6.291852330174059,1093,4.70905576501382,6.260968574253587,7.981109291700684,1.6972473729838011,1.4098064066808027
6.288550310339503,1098,4.7095326958004025,6.266766677469516,7.973093482659886,1.6963917248942728,1.4181168090605278
6.269571683522188,1089,4.663178551149507,6.267491013491636,7.915224327214796,1.6965910233465769,1.3904704148745701
6.248682397065962,1088,4.686014368872689,6.268058253421663,7.884505985277797,1.6937850597685995,1.3374493484323988
6.257470717011285,1093,4.716616495928745,6.273835462802598,7.89686560732688,1.6898810346601423,1.3440371507477675
6.25931546720375,1090,4.6896271606635995,6.278223636950428,7.919684928174393,1.6896581141558447,1.3746312319754153
6.243883718128562,1102,4.665629361811595,6.284062977494038,7.919383900579034,1.6912041174472985,1.3990677118821329
6.251827775475681,1099,4.615608522554151,6.2814401032318,7.9176638150615535,1.6960454152587214,1.432796476195069
6.207334160076961,1102,4.56296428748588,6.267407944539815,7.882030513495965,1.7023148420919993,1.4345004712102043
6.211637136883222,1090,4.614027010939484,6.257916515184277,7.821109643100446,1.7008663451778725,1.342379514487047
6.241312266562352,1094,4.617185890328574,6.260139254151798,7.845171198973159,1.7005178692226943,1.3593698509755183
