avg_diameter_mm,num_grains,D10_mm,D50_mm,D90_mm,Cu,variance
6.24776227863599,267,4.834180944009455,6.234083986722311,7.739190526590254,1.6009310814442523,1.2613130743734142
6.494815209520447,568,4.955547653531945,6.279269068707848,8.058461534339424,1.6059747730383764,1.342298267986225
6.63065698141084,864,5.001016178383791,6.337101763165375,8.315322162563735,1.6173251198638612,1.4928060231006137
6.773094999797515,1085,5.073436852035395,6.4195697679005335,8.513362728631666,1.6294654449639259,1.5552387294193846
6.836386454294607,1093,5.046534616659893,6.495733712967106,8.69386568974124,1.6481203022406692,1.7566432293838294
6.85246183089749,1100,5.0338311303374725,6.554035330982239,8.785263074283135,1.6675450218096817,1.803347549944328
6.7913586275361455,1107,5.005010954259417,6.588573626298598,8.682110750964013,1.6809727506660923,1.778077397604073
6.7885644694386595,1104,5.03611075453719,6.605156610598723,8.654634150803211,1.6884812909784517,1.7106719888345638
6.777521757092343,1111,5.006613214131989,6.616772236380088,8.679340113285805,1.697500057174378,1.8188538896559578
6.673144635046497,1098,4.969309092158082,6.616527493021553,8.434006016156115,1.6974438541138122,1.636417852759507
6.5442497896767025,1082,4.876015284163273,6.598519193902405,8.216916168193642,1.6949891444795462,1.5803210829622996
6.501007686342388,1079,4.845275002772533,6.578281058183554,8.179107595833779,1.6936030132129183,1.520695443024674
6.482167680495405,1085,4.842173168076267,6.560140593042144,8.115233417874697,1.6900721337044529,1.4713324113254387
6.551208779581623,1079,4.9313357678521035,6.556810493995327,8.221232556231744,1.6854859277643777,1.4623142073377666
6.598508333635029,1081,4.949635057921828,6.562564908456508,8.303664648636644,1.6839150810815462,1.4743670711304435
6.6041413655325245,1088,4.942882433058331,6.569214991450007,8.338708421362973,1.6845347255311323,1.516051257802233
6.5610909906889185,1088,4.927900733633272,6.564198886094829,8.268868146557962,1.68322172167954,1.4637551460477554
6.509930592925896,1090,4.915000497515591,6.55166400413445,8.172801039579033,1.6791430014452033,1.4252193818942576
6.452274982027102,1079,4.942611202160401,6.527542765036884,8.042105962103596,1.668733724391153,1.3080820906652957
6.4744252821743125,1069,4.925406752695274,6.516367977328867,8.04981215530738,1.6618559086994258,1.3113193904048852
6.440776552843202,1066,4.879964652092456,6.496375778235161,8.014909261086604,1.6579669940452226,1.3355521745025554
6.475726959981381,1072,4.86725760805541,6.48429098226523,8.087176129907284,1.6586829481055576,1.3888370218824633
6.471754526257977,1078,4.8350482244916675,6.468269864246964,8.124608184428777,1.663017802126891,1.4595634604834264
6.413322564375551,1076,4.840540079954936,6.443103375027528,8.008674983607637,1.6613143004272821,1.3359786435628276
6.405261457909278,1069,4.863015304872738,6.428441830963255,7.981866640672511,1.6573196500953378,1.2764103079493174
6.39216622706566,1060,4.93092608876319,6.417353693466744,7.918122437690686,1.6470173962058254,1.1845375179326303
6.406280597081764,1078,4.920023767953113,6.420148808947561,7.938999857140939,1.6403359293602962,1.25109705649238
6.342852487152865,1066,4.857873645232138,6.409867049030978,7.861776857765912,1.6359402686001352,1.2173144500642128
6.3557418395014995,1079,4.7662412413345345,6.401581878974216,7.939581783869333,1.641911254964545,1.3257687955959638
6.387942653217832,1091,4.7857378487765345,6.399968349771234,8.040751731989053,1.649558765152335,1.4299666987512352
6.427330366375557,1084,4.80466888808343,6.404899511695617,8.086570417654201,1.6562600277538322,1.4275247002308347
