timestamp,x,y,quality
0.0012824535369873047,1.06,1.96,72.0
0.0022733211517333984,1.06,1.95,72.0
0.003113269805908203,1.06,1.95,70.0
0.004189968109130859,1.06,1.94,72.0
0.005005359649658203,1.06,1.95,67.0
0.007971048355102539,1.07,1.96,73.0
0.010947942733764648,1.06,1.95,69.0
0.013150215148925781,1.05,1.93,72.0
0.013954401016235352,1.05,1.94,56.0
0.01480555534362793,1.05,1.94,71.0
0.015625476837158203,1.05,1.94,61.0
0.016412973403930664,1.05,1.93,72.0
0.017251968383789062,1.06,1.95,67.0
0.018062353134155273,1.11,2.03,57.0
0.01885533332824707,1.08,2.0,61.0
0.019706010818481445,1.08,1.97,73.0
0.851539134979248,1.07,1.97,57.0
0.8523437976837158,1.06,1.97,71.0
0.8530995845794678,1.07,1.98,66.0
0.8538739681243896,1.07,1.99,57.0
0.8546297550201416,1.06,1.97,73.0
0.8554205894470215,1.05,1.95,71.0
0.856173038482666,1.11,2.03,57.0
0.8568892478942871,1.14,2.1,57.0
1.8084948062896729,1.11,2.04,75.0
1.8093147277832031,1.1,2.0,75.0
1.8100497722625732,1.09,1.99,73.0
1.8107960224151611,1.06,1.98,58.0
1.8115332126617432,1.06,1.97,74.0
1.8122634887695312,1.06,1.94,76.0
1.8129682540893555,1.11,2.02,56.0
1.8136882781982422,1.1,1.99,76.0
1.8144125938415527,1.09,1.98,69.0
1.8151564598083496,1.07,1.95,72.0
1.8858897686004639,1.07,1.96,69.0
1.9772555828094482,1.06,1.95,65.0
2.114532470703125,1.06,1.95,69.0
2.206048011779785,1.06,1.93,75.0
2.2988572120666504,1.07,1.93,77.0
2.392467737197876,1.14,2.07,62.0
2.484403133392334,1.12,2.05,68.0
2.608604907989502,1.11,2.01,73.0
2.7008323669433594,1.1,2.0,70.0
2.776496648788452,1.09,1.99,76.0
2.9018638134002686,1.08,1.97,77.0
2.9949848651885986,1.06,1.96,63.0
3.089724063873291,1.06,1.96,69.0
3.1818907260894775,1.06,1.96,68.0
3.2756736278533936,1.07,1.96,71.0
3.415945529937744,1.07,1.95,67.0
3.523397922515869,1.05,1.92,77.0
3.585294485092163,1.04,1.93,65.0
3.693876028060913,1.13,2.05,61.0
3.7712855339050293,1.11,2.03,67.0
3.910248279571533,1.09,2.0,72.0
5.060731410980225,1.07,1.97,75.0
5.061716079711914,1.07,1.97,70.0
5.062494993209839,1.15,2.09,61.0
5.0632641315460205,1.13,2.02,80.0
5.064239501953125,1.11,1.99,63.0
5.064964771270752,1.21,2.14,64.0
5.065686464309692,1.17,2.07,77.0
5.066416025161743,1.14,2.03,59.0
5.067140579223633,1.12,2.03,64.0
5.067877292633057,1.1,1.99,75.0
5.068612098693848,1.09,1.97,75.0
5.106845378875732,1.08,1.95,74.0
5.199333906173706,1.07,1.94,61.0
5.292996644973755,1.07,1.94,69.0
5.400592565536499,1.06,1.94,73.0
5.4942193031311035,1.06,1.95,65.0
5.668686866760254,1.06,1.95,64.0
5.709583759307861,1.06,1.95,74.0
5.790140390396118,1.06,1.95,69.0
5.915055751800537,1.07,1.93,73.0
5.992605209350586,1.06,1.93,58.0
6.07208776473999,1.05,1.93,71.0
6.194103002548218,1.06,1.93,70.0
6.288433074951172,1.15,2.05,61.0
6.396758079528809,1.13,2.04,71.0
6.474697589874268,1.12,1.99,75.0
6.598749399185181,1.1,1.97,65.0
6.708749771118164,1.03,1.99,47.0
6.77169132232666,1.05,1.99,68.0
6.91183876991272,1.08,2.02,63.0
6.974578857421875,1.1,2.02,66.0
7.083083152770996,1.1,1.99,74.0
8.362231016159058,1.09,1.98,70.0
8.362953662872314,1.08,1.97,73.0
8.363873481750488,1.18,2.13,65.0
8.36493444442749,1.15,2.07,69.0
8.365724086761475,1.13,2.04,73.0
8.366465330123901,1.12,2.02,71.0
8.36718487739563,1.11,2.0,70.0
8.367902755737305,1.1,1.99,67.0
8.36860990524292,1.08,1.99,65.0
8.369307041168213,1.07,1.97,72.0
8.370104312896729,1.07,1.96,67.0
8.370906114578247,1.06,1.96,67.0
8.371639728546143,1.06,1.95,72.0
8.501805543899536,1.07,1.94,73.0
8.595211267471313,1.07,1.93,71.0
8.6894690990448,1.07,1.93,69.0
8.783096313476562,1.07,1.92,72.0
8.875953435897827,1.08,1.92,67.0
9.001235485076904,1.09,1.92,67.0
9.123567581176758,1.09,1.92,77.0
9.231849193572998,1.09,1.9,69.0
9.278940439224243,1.1,1.91,69.0
9.371536016464233,1.11,1.92,62.0
9.495521545410156,1.1,1.87,79.0
9.588963031768799,1.06,1.86,66.0
9.682287454605103,1.02,1.88,53.0
9.790992498397827,1.03,1.85,81.0
9.930866241455078,1.04,1.85,72.0
9.978298425674438,1.04,1.85,70.0
10.102927923202515,1.04,1.84,79.0
10.227078437805176,1.08,1.87,71.0
10.302835941314697,1.1,1.9,61.0
10.410896301269531,1.11,1.92,61.0
10.50425910949707,1.09,1.9,85.0
10.582353591918945,1.08,1.88,80.0
10.707566261291504,1.07,1.88,66.0
11.452365159988403,1.06,1.86,75.0
11.453267812728882,1.05,1.87,68.0
11.454143524169922,1.07,1.88,66.0
11.455116510391235,1.11,1.89,71.0
11.45598578453064,1.09,1.87,73.0
11.457104921340942,1.11,1.89,68.0
11.458279609680176,1.09,1.84,82.0
11.515554189682007,1.08,1.82,79.0
11.59279465675354,1.05,1.83,60.0
11.718568563461304,1.03,1.85,67.0
11.795302629470825,1.02,1.82,93.0
11.889190196990967,1.02,1.79,84.0
11.981400966644287,1.03,1.79,73.0
12.10714602470398,1.03,1.8,74.0
12.215744018554688,1.07,1.84,64.0
12.307997465133667,1.06,1.81,69.0
12.38597822189331,1.03,1.78,66.0
12.479677438735962,1.03,1.74,87.0
12.587977409362793,1.07,1.77,73.0
12.713085174560547,1.07,1.75,79.0
12.805264234542847,1.07,1.75,74.0
12.930062055587769,1.07,1.73,80.0
12.99243974685669,1.06,1.75,65.0
13.085781335830688,1.05,1.71,74.0
13.193893909454346,1.05,1.68,86.0
13.271878719329834,1.06,1.67,88.0
13.38083291053772,1.06,1.66,83.0
13.473710775375366,1.08,1.67,76.0
13.58232045173645,1.1,1.67,74.0
13.676619529724121,1.11,1.67,81.0
13.771628141403198,1.12,1.68,75.0
14.51939344406128,1.14,1.7,71.0
14.52013087272644,1.13,1.7,70.0
14.520825624465942,1.13,1.7,72.0
14.521522283554077,1.14,1.69,78.0
14.522227048873901,1.13,1.69,88.0
14.522906303405762,1.14,1.7,74.0
14.523595809936523,1.14,1.7,70.0
14.58274531364441,1.13,1.69,74.0
14.676035642623901,1.13,1.68,75.0
14.831456422805786,1.12,1.66,72.0
14.89405608177185,1.09,1.63,77.0
14.971728563308716,1.07,1.6,75.0
15.12723183631897,1.09,1.62,71.0
15.189537763595581,1.11,1.64,76.0
15.297322273254395,1.12,1.63,76.0
15.392682552337646,1.09,1.61,82.0
15.517164468765259,1.08,1.6,79.0
15.609665393829346,1.08,1.6,89.0
15.687501192092896,1.07,1.57,88.0
15.77875828742981,1.07,1.56,74.0
15.872987747192383,1.1,1.55,77.0
16.014092206954956,1.09,1.54,82.0
16.07706618309021,1.07,1.52,87.0
16.185643434524536,1.08,1.51,90.0
16.309637308120728,1.08,1.5,92.0
16.371734142303467,1.09,1.51,91.0
16.495250940322876,1.09,1.5,90.0
16.590102910995483,1.08,1.49,88.0
16.684311866760254,1.1,1.51,80.0
16.807822227478027,1.1,1.51,94.0
16.900954484939575,1.12,1.51,82.0
17.339764833450317,1.09,1.47,81.0
17.340485095977783,1.1,1.47,77.0
17.341163873672485,1.1,1.47,91.0
17.341856479644775,1.1,1.47,76.0
17.40195608139038,1.12,1.47,79.0
17.511050939559937,1.13,1.45,85.0
17.573076963424683,1.12,1.44,90.0
17.681240558624268,1.12,1.44,89.0
17.791174173355103,1.12,1.43,82.0
17.883357763290405,1.11,1.43,79.0
17.993268251419067,1.12,1.43,87.0
18.102880001068115,1.16,1.45,77.0
18.21069359779358,1.15,1.43,92.0
18.304627418518066,1.13,1.4,78.0
18.398003339767456,1.16,1.36,82.0
18.491296529769897,1.15,1.35,89.0
18.600396156311035,1.11,1.32,79.0
18.724255084991455,1.09,1.32,82.0
18.785516023635864,1.07,1.31,85.0
18.894344329833984,1.09,1.34,81.0
19.001922607421875,1.1,1.32,85.0
19.094544172286987,1.09,1.32,78.0
19.1897394657135,1.09,1.35,90.0
19.31464457511902,1.1,1.37,78.0
19.37684178352356,1.13,1.39,81.0
19.50006628036499,1.12,1.35,79.0
19.60885715484619,1.09,1.32,86.0
19.703148126602173,1.07,1.31,91.0
19.810688018798828,1.09,1.31,90.0
20.57494044303894,1.07,1.29,92.0
20.575749397277832,1.06,1.27,93.0
20.576488494873047,1.09,1.27,84.0
20.577197313308716,1.07,1.26,90.0
20.577922344207764,1.07,1.27,92.0
20.578657388687134,1.06,1.25,98.0
