timestamp,D10,D50,D90,Cu
1.1920928955078125e-06,2.0560878416705854,3.500448553050517,6.250727309748215,3.040105652569691
3.955077648162842,2.171001775769256,3.52808184432684,7.328065135818055,3.107170267464023
7.112489461898804,2.163308476032423,3.5656791481975048,7.3962295132474996,3.1695246034911886
10.706196069717407,2.247843348793461,3.634069560945098,7.71050229752959,3.2216549326685247
13.769108057022095,2.5719818935585796,3.8149038796792833,8.841232225557002,3.264827136587563
16.89992880821228,2.8036494536388177,4.031827675026717,10.314404139308394,3.3476455960182347
19.809232473373413,2.938058690468748,4.23776645681973,11.271003020493852,3.4453577317868884
23.092985153198242,2.7852876525647385,4.355331621834305,10.77619335520622,3.5300798348082445
26.69702696800232,2.6601205936236547,4.384691100714189,9.591804039822966,3.545219176146385
29.375874996185303,2.6601205936236547,4.410866757889711,10.018247764082359,3.5893926215178316
31.40661644935608,2.6528514886020886,4.434524082170343,10.586398547281545,3.6696284735518665
