timestamp,x,y,quality
0.001008749008178711,0.95,1.87,67.0
0.0017719268798828125,0.96,1.86,62.0
0.002486705780029297,0.94,1.87,61.0
0.0032057762145996094,0.94,1.85,62.0
0.003939628601074219,0.95,1.84,66.0
0.005633831024169922,0.97,1.82,65.0
0.008492231369018555,0.99,1.79,73.0
0.011224508285522461,1.02,1.78,73.0
0.012031793594360352,1.03,1.79,68.0
0.012850761413574219,1.02,1.77,68.0
0.013721466064453125,1.0,1.77,79.0
0.014463663101196289,1.04,1.8,68.0
0.015218496322631836,1.03,1.79,70.0
0.015943527221679688,1.05,1.79,74.0
0.5927770137786865,1.04,1.77,71.0
0.5938937664031982,1.0,1.72,73.0
0.5950074195861816,0.98,1.71,66.0
0.5960915088653564,0.94,1.66,75.0
0.5971484184265137,0.92,1.69,54.0
0.5982460975646973,0.96,1.71,67.0
1.0305826663970947,0.96,1.71,67.0
1.0313506126403809,0.99,1.73,69.0
1.0321223735809326,1.02,1.75,67.0
1.0328235626220703,1.02,1.76,80.0
1.0335602760314941,1.01,1.76,69.0
1.1614131927490234,0.99,1.72,76.0
1.2489550113677979,0.96,1.68,67.0
1.3565897941589355,0.94,1.66,71.0
1.4508886337280273,0.92,1.69,58.0
1.5739696025848389,0.98,1.74,76.0
1.6519060134887695,0.93,1.68,69.0
1.7780468463897705,0.89,1.64,70.0
1.841008186340332,0.88,1.62,70.0
1.934621810913086,0.88,1.62,72.0
2.0420358180999756,0.9,1.68,67.0
2.1525118350982666,0.91,1.68,68.0
2.2767703533172607,0.96,1.72,70.0
2.371114492416382,0.97,1.79,54.0
2.465590715408325,0.98,1.78,75.0
2.5742697715759277,0.98,1.77,93.0
2.6368143558502197,0.99,1.76,78.0
2.7287731170654297,1.0,1.76,68.0
2.837021827697754,0.97,1.74,66.0
2.9451472759246826,1.01,1.73,72.0
3.0542588233947754,1.03,1.72,79.0
3.147951126098633,1.03,1.68,81.0
5.1897289752960205,1.03,1.67,73.0
5.190518617630005,1.01,1.69,64.0
5.191234827041626,1.01,1.68,85.0
5.191946983337402,0.99,1.69,71.0
5.192670583724976,1.02,1.65,75.0
5.193373441696167,1.03,1.64,79.0
5.194338321685791,1.09,1.58,84.0
5.1951446533203125,1.13,1.61,59.0
5.195930242538452,1.21,1.61,44.0
5.196674823760986,1.21,1.56,95.0
5.197400093078613,1.21,1.51,80.0
5.198124647140503,1.15,1.55,79.0
5.198843479156494,1.1,1.59,64.0
5.199550151824951,1.08,1.6,80.0
5.200287342071533,1.08,1.6,81.0
5.200997591018677,1.04,1.63,64.0
5.201788663864136,1.04,1.59,91.0
5.202538967132568,1.16,1.47,79.0
5.203259468078613,1.11,1.5,84.0
5.2043774127960205,1.08,1.54,68.0
5.235840320587158,1.08,1.52,80.0
5.345156192779541,1.1,1.49,92.0
5.472181558609009,1.14,1.46,91.0
5.533620357513428,1.19,1.42,93.0
5.658796310424805,1.24,1.35,81.0
5.754412889480591,1.18,1.42,71.0
5.846876382827759,1.25,1.35,95.0
5.93980860710144,1.29,1.3,80.0
6.0632312297821045,1.22,1.36,76.0
6.15675163269043,1.22,1.36,84.0
6.250174045562744,1.24,1.35,80.0
6.358669996261597,1.21,1.36,96.0
6.45227575302124,1.16,1.38,90.0
6.545255899429321,1.12,1.38,93.0
6.638591766357422,1.06,1.41,79.0
6.762829065322876,1.03,1.42,79.0
6.840000152587891,1.0,1.42,80.0
6.963479280471802,0.98,1.41,77.0
7.057435750961304,0.97,1.39,79.0
7.1808576583862305,0.97,1.39,89.0
7.229698657989502,0.97,1.39,89.0
7.35422158241272,0.97,1.4,84.0
7.586960792541504,0.95,1.4,82.0
7.587825536727905,0.95,1.39,94.0
7.665403604507446,0.93,1.42,68.0
7.7890167236328125,0.93,1.42,80.0
7.834923505783081,0.94,1.42,91.0
7.942422866821289,0.95,1.44,79.0
8.050807237625122,0.95,1.41,91.0
8.158403873443604,0.97,1.38,87.0
8.282944202423096,0.96,1.37,82.0
8.330408334732056,0.95,1.34,83.0
8.455328464508057,0.95,1.36,81.0
8.547948837280273,0.94,1.37,79.0
8.657129764556885,0.95,1.37,80.0
8.733386278152466,0.94,1.38,80.0
8.859151363372803,0.95,1.39,90.0
8.95270824432373,0.96,1.38,86.0
9.075093269348145,0.96,1.36,84.0
9.169087171554565,0.98,1.35,89.0
9.232669115066528,0.97,1.33,82.0
9.372462034225464,0.97,1.31,86.0
9.464877605438232,0.92,1.25,69.0
9.573050260543823,0.95,1.26,93.0
9.652157545089722,0.95,1.26,95.0
9.729658126831055,0.94,1.25,85.0
9.87047815322876,0.94,1.22,76.0
10.897109031677246,0.95,1.22,85.0
10.898053407669067,0.94,1.18,79.0
10.899209022521973,0.96,1.18,80.0
10.900090456008911,0.97,1.16,86.0
10.900819063186646,1.03,1.14,87.0
10.901509761810303,1.01,1.18,77.0
10.90227198600769,0.99,1.17,73.0
10.902978420257568,0.93,1.14,63.0
10.903698205947876,0.85,1.11,46.0
10.904396533966064,0.88,1.09,75.0
10.944202184677124,0.92,1.08,77.0
11.052753448486328,0.95,1.06,93.0
11.144887447357178,0.96,1.06,91.0
11.23731517791748,0.96,1.06,78.0
11.330451250076294,0.96,1.05,74.0
11.471949100494385,0.96,1.04,90.0
11.567179918289185,0.97,1.04,88.0
11.675962209701538,0.98,1.04,85.0
11.78630256652832,0.96,1.03,77.0
11.877989292144775,0.95,1.03,79.0
11.971394538879395,0.95,1.02,79.0
12.034822225570679,0.96,1.04,79.0
12.159881591796875,0.99,1.07,89.0
12.253436803817749,0.96,1.05,75.0
12.345637321472168,0.94,1.04,73.0
12.455430030822754,0.96,1.05,82.0
12.564014196395874,1.0,1.07,93.0
12.655189037322998,0.97,1.07,71.0
12.749510288238525,1.0,1.03,84.0
12.84079623222351,0.99,1.0,76.0
12.950301885604858,0.97,0.98,74.0
13.044058561325073,0.97,0.99,74.0
14.16571307182312,0.95,0.96,69.0
14.166446924209595,0.95,0.94,72.0
14.16717267036438,0.97,0.92,81.0
14.168373823165894,1.0,0.9,87.0
14.169277667999268,1.01,0.88,79.0
14.169970273971558,1.01,0.86,76.0
14.170652866363525,1.02,0.84,75.0
14.17132830619812,1.02,0.84,77.0
14.172101497650146,1.01,0.83,70.0
14.172858238220215,0.99,0.82,61.0
14.17354965209961,0.99,0.81,61.0
14.243470430374146,0.99,0.79,67.0
14.336914777755737,0.98,0.76,63.0
14.429604530334473,0.97,0.74,69.0
14.569462060928345,1.05,0.77,43.0
14.661683082580566,1.04,0.79,60.0
14.7382230758667,1.07,0.85,81.0
14.831306219100952,1.05,0.83,74.0
14.956498146057129,1.11,0.83,50.0
15.050721168518066,1.14,0.82,49.0
15.15882134437561,1.15,0.85,53.0
15.252830266952515,1.13,0.9,43.0
15.346508264541626,1.08,0.85,58.0
15.438714504241943,1.07,0.85,62.0
15.548022270202637,1.06,0.85,57.0
15.641767024993896,1.07,0.86,57.0
15.736042737960815,1.1,0.88,55.0
15.84434199333191,1.08,0.86,53.0
15.938924074172974,1.03,0.81,58.0
16.03214693069458,1.02,0.77,55.0
16.139394760131836,0.97,0.76,55.0
16.233324766159058,0.98,0.73,67.0
16.372435569763184,0.97,0.76,75.0
16.434349298477173,0.94,0.73,52.0
16.57338809967041,0.9,0.69,43.0
16.635138750076294,0.91,0.72,73.0
16.729190349578857,0.97,0.68,71.0
16.837356090545654,0.87,0.79,71.0
16.929547786712646,0.84,0.73,44.0
17.038700580596924,0.84,0.73,70.0
17.131856441497803,0.84,0.76,82.0
17.24178647994995,0.85,0.75,66.0
17.33522605895996,0.83,0.78,75.0
17.429198026657104,0.9,0.7,59.0
17.53751039505005,0.87,0.73,71.0
17.630384922027588,0.88,0.75,81.0
17.739267587661743,0.91,0.7,61.0
