file,mean_mm,uncertainty_mm,error_mm,abs_error_mm,cov
1,3.608886859578388,0.048657189609884334,0.35888685957838806,0.35888685957838806,0.013482603224521359
2,4.252302294675472,0.07637503540402552,1.0023022946754718,1.0023022946754718,0.017960866869615233
3,3.937542951001921,0.02064749739499939,0.6875429510019209,0.6875429510019209,0.0052437516623775665
4,4.103120643123285,0.048674422536216747,0.853120643123285,0.853120643123285,0.011862781226721596
5,3.841837236120944,0.0496652385497322,0.5918372361209441,0.5918372361209441,0.012927470763930275
6,3.761557046934393,0.0380749521405295,0.5115570469343931,0.5115570469343931,0.010122125403244904
7,4.524107739358247,0.08443343852931047,1.2741077393582474,1.2741077393582474,0.01866300349011748
8,4.44912305526914,0.12138446188778818,1.1991230552691396,1.1991230552691396,0.027282783681164175
9,3.8804551551843316,0.06565207210159582,0.6304551551843316,0.6304551551843316,0.0169186524456761
10,3.6959543938204407,0.06522546630340385,0.44595439382044066,0.44595439382044066,0.01764780063640923
