avg_diameter_mm,num_grains,D10_mm,D50_mm,D90_mm,Cu,variance
3.6150384530026756,312,2.8694234814244157,3.6341659839827973,4.378113348553875,1.5257815295985964,0.30665473189156717
3.673753071506134,616,2.922952267676487,3.640897910003999,4.4499049210623,1.5251053871267477,0.3166881116888735
3.719474288291477,906,2.9669425395025306,3.6584219093747095,4.4769991408334615,1.5218764125969348,0.30590360817588014
3.797916997244563,1105,3.047115606556054,3.6838815915176584,4.570969008212351,1.5175205319261444,0.2987521820955508
3.79622100721943,1122,3.0147196511264784,3.7045424501474113,4.609135720366833,1.5197918377683568,0.3261198653612592
3.774924832644314,1111,2.99132001648163,3.716134573761864,4.574916147622463,1.5217128894955052,0.3177216669903862
3.7683567801120845,1107,3.002128304380664,3.724736519866133,4.557745556660919,1.5210046066403782,0.31145757624786935
3.76475277253322,1101,3.020085643050294,3.7327582883846575,4.546490893837376,1.51788725917052,0.3053678992221262
3.797930095677468,1089,3.079989537804826,3.746158498879364,4.556288361525704,1.5101736929503307,0.28758062849397287
3.78972562957146,1095,3.0405260262206966,3.757211447298471,4.5460212633292665,1.5071675582350925,0.29585013457037873
3.787238250320694,1083,3.0373352094469244,3.767078649498763,4.531543858413833,1.504123492989612,0.28981740662101996
3.761557046934393,1098,3.00418725939062,3.7665132286146386,4.525867895698938,1.5046027747978232,0.29625684676824104
3.737010605419454,1088,3.00418725939062,3.76124166059305,4.454031516643073,1.500203783380642,0.2793159248518184
3.7435607739476646,1094,3.0065409458059724,3.7598470326911784,4.504683297772576,1.4998218957484537,0.29184989131717126
3.7361663925298974,1103,2.9938122833649934,3.7578113362897727,4.51178826180406,1.5012650755745642,0.30045083909357206
3.7468757251778877,1109,2.9795879179975975,3.760801785589425,4.548922447534488,1.5063510920792686,0.320174674140466
3.7113878835338796,1114,2.984501071464303,3.7539264292271572,4.494874927411294,1.5062953694723207,0.3033948161067962
