timestamp,dx,dy,dz,dyaw,inliers,matches,inlier_ratio,sv_ratio,scale
2.29797625541687,0.0046978341033064265,0.006245726949666118,0.0008651071720213136,-0.017649882244967295,100,100,1.0,0.9999996904347866,0.0053906875722895785
2.7509288787841797,0.0011969467715313663,-0.009998379451153902,1.4226574222803712e-05,-0.005412841558454385,100,100,1.0,0.9999999995250857,0.004174649522196389
3.201082468032837,-0.004867927244001012,0.007156624416376551,-0.0017550277258682797,0.01569818829685234,100,100,1.0,0.9999999999702796,0.005913679198044649
3.3091228008270264,1.2125257863326927e-05,2.1566994420936826e-06,-4.280359530612245e-05,0.0030565307597016328,100,100,1.0,0.9999999999999996,4.449622305072469e-05
4.2886574268341064,-0.0011509894015997097,0.0008993524172969977,-0.0029763700606048977,0.011671311041542475,100,100,1.0,0.9999999999998894,0.00321138115201851
4.350430011749268,-0.00024210994423559307,0.00015828617626569165,0.0007037245684384516,0.0022116999959942265,100,100,1.0,0.9999999998857879,0.0007468963887294791
4.41246223449707,0.000811939747830333,0.001584569858059799,-0.0019221410794526964,-0.00445169080328746,100,100,1.0,0.9999999995760958,0.002180736193361734
4.474956512451172,-5.980938265039956e-06,0.00033977703579471765,-0.0006314764397861295,-0.0013144636692744402,100,100,1.0,0.9999999999992103,-0.0006459644069730518
4.537139654159546,0.00011564407002321678,-0.0015763272888493678,0.0037327000050556254,0.0003502669117226677,100,100,1.0,0.9999999999983227,-0.003787346315578388
4.598143815994263,-2.1318149744749256e-05,2.382986013178773e-05,5.975271437661493e-05,-0.00012875571900492803,100,100,1.0,0.9999999998393889,6.415378664846658e-05
4.87707257270813,0.004941393695214338,-0.005242056498465035,0.0005598614024064794,-0.015601345147445034,100,100,1.0,0.9999552316817261,0.005396988183635803
4.940622329711914,-0.0002805837575193125,-0.0005235392507483788,0.00198745592599079,-0.0030358367217692118,100,100,1.0,0.9999999999997704,0.002018059275212557
5.002771615982056,8.186675375894807e-05,-2.3535438064498322e-05,-0.0002618546036199741,-0.0001700355429445448,100,100,1.0,0.9999999999999701,0.0002745152555017372
5.142407655715942,-0.00041465841052795087,-0.0006303387287548934,-0.000972624979246645,0.0014880661052288117,100,100,1.0,0.9999999999999991,-0.0010869743574487105
5.251027584075928,0.00019659467380533932,-0.0002186029812419001,-0.0006679802389538081,-0.0015648710602102543,100,100,1.0,0.9999999999552064,0.0007017784746960181
5.312488317489624,0.001392219096626669,-0.000308418945461849,-0.0022834606278639216,-0.005875861726540196,100,100,1.0,0.9999999999999334,0.002677253445485474
5.374547719955444,-0.013007702696760574,0.025560774015983122,0.009216037653660851,0.028500784927475483,36,39,0.9230769230769231,0.999999999999939,0.018938642675978452
5.4836671352386475,0.002522980175051643,0.0026034789130970617,-0.00561525183365082,-0.007787796750544731,100,100,1.0,0.9999999999999989,0.0062434748747130465
5.530332326889038,-0.0016113736879313108,0.011883415562673125,-0.024564605804595276,-0.01150109609927584,15,15,1.0,0.9999999999999997,0.025072113472281155
5.608307600021362,-0.004736329503770217,0.00018671890810424056,-0.005295341082531578,0.0009808022247548513,100,100,1.0,0.9999999999999951,0.00710485978614173
5.670052766799927,0.001618698251080722,-0.004767305303177833,0.0026368376015167092,-0.005194473213889017,98,100,0.98,0.9999999999999675,0.003634480505026458
5.733708620071411,1.8379596228551432e-05,-2.9750937844369013e-05,2.87937542800529e-05,0.007069098441639705,96,98,0.9795918367346939,0.9999999999999997,-3.617331573803773e-05
5.7953712940216064,0.0037887097117986716,0.002325939103342882,-0.0075506104322984055,-0.010969507340337564,60,62,0.967741935483871,0.9999999999927344,0.008498919814576709
5.841980934143066,0.001395585042528523,-0.0006174283078291637,-0.0028934665048691065,-0.008281240665775414,100,100,1.0,0.9999999999995326,0.0032219250239846034
5.920801401138306,0.000518008772956548,0.0006425487397042212,-0.0038035004548121324,-0.003204120953206663,99,100,0.99,0.9999999999999992,0.003847207795256103
5.998281002044678,3.883573021015906e-05,0.004232008868483876,-0.006401137072954589,0.0009983991863495307,99,100,0.99,1.0,0.006621302582631517
6.044055223464966,-0.0032000271357720475,0.0042115472203691625,-0.006063393639691488,-0.004350635078157133,100,100,1.0,0.9999999999999981,0.007059947372171588
6.151804208755493,0.0017375854695206648,-0.0008102902970085677,-0.0064225437838237465,-0.006058753656416123,100,100,1.0,0.9999999999999895,0.006661330435993293
6.197876214981079,-0.003229632746892232,0.00503073034981841,-0.00878470098712826,-0.007537730222020832,45,47,0.9574468085106383,1.0,0.009573443412349829
6.30504846572876,0.0011115558846841091,0.0006588796892123064,-0.0019956911193005464,0.0016863402149749236,100,100,1.0,0.9999999999998874,-0.00229952149796604
6.351983070373535,0.0009517960908340842,-0.0011422013262000978,-0.0026084768584185855,-0.0032297525450957357,100,100,1.0,0.9999999999999889,0.0028140375154862554
6.399042367935181,0.001007320612829143,0.005442884059876073,-0.0065245197306616565,-0.00037328524222865245,98,100,0.98,0.9999999999887348,0.006951550218124316
6.461916923522949,0.014834524880122374,0.022758389647159386,0.006327598200871961,-0.0332730061156883,75,76,0.9868421052631579,0.9999999999999992,0.018519522545242813
7.242190837860107,-0.0025128507323817642,0.8826105634060029,0.1971987820477898,0.046041963190909606,21,22,0.9545454545454546,0.999999999999965,0.404393248115832
7.305312395095825,-0.001668672286899673,0.014793344167381775,-0.008234681538532346,-0.002329621650116754,100,100,1.0,0.9999999999999977,0.01027664012733976
7.36656379699707,-0.03411018638444793,0.020217750634159534,0.015052252029692058,0.11053666575136165,84,89,0.9438202247191011,0.999999999999605,0.038150705063733165
7.428304195404053,-8.697724220211743e-05,-0.0006740521478082117,-0.0018376493830343178,0.018893943850467217,99,100,0.99,0.9999999999999999,-0.0018593589495581196
7.489906311035156,0.0009932179872415958,-0.0003701332015804818,-0.0011666412696207673,0.00292070736916908,100,100,1.0,0.9999999999998462,-0.0015393029578574054
7.552180528640747,-0.001122313761524071,0.003704236066257391,-0.0024591155587957866,0.007362772631430053,100,100,1.0,0.9999999998557826,0.003082572932526942
7.5995118618011475,0.0015409195963849982,0.0009046914410222195,-0.0026900265403641613,0.017339052363567944,82,85,0.9647058823529412,0.999999999999994,-0.0031211585424230377
7.661550998687744,-0.013575417469064426,0.048670509637093524,0.006688855182571755,0.043540836426113144,73,74,0.9864864864864865,0.9999999999575798,0.02465854222062413
7.738943099975586,0.0006427987924724785,-0.0001496634098682062,-0.0024659482525874856,0.005837925972032666,100,100,1.0,0.9999999999999232,-0.002549053733024059
7.800776720046997,0.004096467678261659,-0.002212373946965757,-0.0057139563398621055,-0.0001300649698848742,75,82,0.9146341463414634,0.999999999999851,0.007086147066628442
7.8469367027282715,0.001957730335149093,-0.0050978174031004984,-0.0046524387050735526,-0.015583839811073289,100,100,1.0,0.9999999999996794,0.005443889485807564
7.893613338470459,-0.0012577015407831532,-0.003056749351171801,0.0017703775133772397,-0.0050896414662851,69,73,0.9452054794520548,0.9999999999912681,0.0024921966938631413
7.940735101699829,-0.0002004793522149711,0.0009529061907746386,0.0015555831616746413,0.008484473177842795,98,100,0.98,0.9999999999999996,0.0016140990604349128
7.9882493019104,-0.0003103997170799781,4.0500472131975e-05,0.0012355804233307188,0.015495916274390712,100,100,1.0,0.9999999999999984,0.0012740759055096815
8.049499034881592,-8.259589943041845e-05,0.0009474574722491654,0.00024196303407918426,0.008103483523768402,100,100,1.0,0.999999999999848,0.0004571611295143636
8.142853021621704,0.00020476510748042255,0.0006678748112760989,-0.0011613424525560659,-0.007413116636304286,100,100,1.0,0.9999999999999992,0.0012091377603550147
